[00:00.000 --> 00:29.980]  Thank you.
[00:30.000 --> 00:55.580]  All right. Good morning, everybody. We'll start in about a minute. Just waiting for other people to log in and preparing the presentation.
[00:55.580 --> 01:06.080]  Hopefully, it will be smooth today. All right. I'll just shut up for now and let's just wait for the others to come in.
[01:06.080 --> 01:19.620]  Let me just unpause this and bring up the screen. Okay.
[01:19.620 --> 01:24.560]  Hang on. Slide show.
[01:24.560 --> 01:30.940]  So, start with where we left off from last time.
[01:33.280 --> 01:36.320]  Is it this one? Yes. Okay. Here we go.
[01:36.320 --> 01:43.540]  All right. Of course, as usual, if you have any questions, kindly, don't be hesitant. Let me know.
[01:43.540 --> 01:54.480]  You can unmute or just chat me up. Just raise your hand. Okay. All right.
[01:54.480 --> 02:07.300]  We stopped here last meeting where we started on discussing what a clamp circuit is, a clamping circuit or clamper.
[02:07.300 --> 02:15.980]  So, essentially, the definition of a clamper is that it is a circuit that moves the waveform.
[02:17.300 --> 02:18.260]  All right.
[02:18.260 --> 02:36.240]  To a different DC position. So, some of these circuits, or at least in this particular example, the input waveform doesn't actually, versus the output waveform shape doesn't actually change.
[02:36.240 --> 02:54.860]  So, this is a distinction between what a clamper does versus a clipper. A clipper changes the look or shape of the waveform, whereas a clamper basically, at least here in this example, does not. It just moves it around.
[02:54.860 --> 03:12.400]  And this movement, all right, this DC position change is facilitated through the action of a capacitor. It's dependent, very, very dependent on the capacitor charging and discharging.
[03:12.400 --> 03:19.400]  So, there are time constants involved.
[03:21.920 --> 03:28.080]  But that gets deeper into the subject, which makes it a little bit more difficult to understand.
[03:28.320 --> 03:36.640]  So, let's start with the fundamental. How does it manage to move that waveform, in this case, downward in the first place?
[03:37.180 --> 03:41.620]  So, hang on. I forgot to turn on the pen.
[03:42.400 --> 03:43.740]  There we go.
[03:44.760 --> 03:46.220]  And yeah, that seems to be working.
[03:46.580 --> 04:05.380]  So, the explanation, essentially, is that in the positive cycle of the input, all right, remember that the input is basically varying symmetrically above and below zero, all right?
[04:05.380 --> 04:17.100]  In this case, in the example, in the example, it reaches a peak of plus 15 volts and a negative peak symmetrically of minus 15.
[04:17.100 --> 04:26.560]  So, in the first half of the cycle, which is this portion that we see here, all right?
[04:26.560 --> 04:32.540]  What happens, going back to the circuit, sorry, if I have to switch back and forth, all right?
[04:32.900 --> 04:52.100]  What happens, essentially, is that you'll notice that with this polarity and on the assumption that, remember, okay, we've discussed what you call as DC or steady state conditions, all right?
[04:52.100 --> 04:56.940]  Versus sending an AC signal into a capacitor.
[04:57.100 --> 05:00.400]  So, remember the basic principle of the capacitor.
[05:00.660 --> 05:04.040]  It likes to charge up, all right?
[05:04.100 --> 05:04.960]  And discharge.
[05:04.960 --> 05:11.680]  So, we start with the assumption that the capacitor is discharged.
[05:12.000 --> 05:14.720]  It does not have any voltage, all right?
[05:15.140 --> 05:20.460]  So, V sub C initially, all right, V sub C initially is zero.
[05:21.000 --> 05:30.980]  So, any voltage that you put, all right, will attempt to flow current through zero, all right?
[05:30.980 --> 05:45.900]  So, if you want to write the KVL expression, for example, just to make things clear, you start with negative V in plus V sub C, all right?
[05:45.900 --> 05:57.420]  Going through here and going downwards, plus V sub D minus five, all right, is equal to zero.
[05:57.420 --> 06:00.740]  That's the initial equation, initial equation.
[06:01.300 --> 06:08.280]  And in this example given, the peak voltage here, all right?
[06:08.420 --> 06:09.640]  Peak voltage here.
[06:10.380 --> 06:17.740]  The peak-to-peak voltage here, all right, is seemed to be 10 volts, all right?
[06:17.920 --> 06:26.240]  So, thing here is, all right, even if we don't know what this is, we know that the current will flow this way.
[06:26.240 --> 06:34.000]  And what you can see is that it is flowing in the direction of the diode, all right?
[06:34.420 --> 06:36.280]  It's flowing in the direction of the diode.
[06:37.080 --> 06:42.100]  And the end result, of course, is that the diode, where did we append go?
[06:42.460 --> 06:45.160]  The diode will conduct, all right?
[06:45.160 --> 06:56.860]  And if we assume for the sake of simplicity that it is an ideal diode, our diode conduction voltage will be equal to zero.
[06:57.040 --> 06:59.540]  So, we can just remove that, okay?
[06:59.540 --> 07:02.200]  And so, what are we going to get?
[07:02.260 --> 07:10.720]  We're going to get, essentially, an equation, all right, with V sub C equal to zero initially, all right?
[07:11.260 --> 07:14.280]  That, indeed, the current will flow.
[07:14.900 --> 07:17.720]  The diode will conduct, all right?
[07:17.720 --> 07:23.960]  And we're going to get an equation that's composed of just voltages, which is impossible, all right?
[07:24.960 --> 07:32.680]  Particularly if the voltage V in and 5 volts are not the same voltage here, if they're not equal.
[07:32.680 --> 07:48.340]  So, what actually happens is that you will get an instantaneous current, a large one, in fact, flowing through the circuit, which will very, very quickly charge up the capacitor.
[07:48.340 --> 07:58.520]  Such that the capacitor voltage is going to be equal to V in minus 5 volts, all right?
[07:58.840 --> 08:00.620]  Ah, no, wait, plus 5, sorry.
[08:01.600 --> 08:01.780]  Okay?
[08:01.840 --> 08:04.520]  Because both of them are negative.
[08:04.660 --> 08:07.700]  So, when you transfer it to the right side, both of them become positive, okay?
[08:08.060 --> 08:11.540]  So, Vc is going to be V in plus 5 volts.
[08:11.540 --> 08:18.660]  So, it will instantaneously charge to that voltage, all right?
[08:20.360 --> 08:29.960]  Through the fact that the initial condition will force a large amount of current, in theory, infinite, but not, all right?
[08:30.160 --> 08:31.140]  The reality is not.
[08:31.140 --> 08:43.540]  A theoretically infinite amount of voltage that will instantaneously charge the capacitor as this V in, all right, goes through its upward swing.
[08:44.040 --> 08:53.820]  It will be instantaneously charging the capacitor, all right, until the capacitor reaches this maximum voltage, which corresponds with this peak.
[08:54.780 --> 08:55.040]  Okay?
[08:55.400 --> 08:55.780]  All right?
[08:55.780 --> 08:57.520]  So, that's what's happening.
[08:57.520 --> 09:05.980]  So, in the positive half cycle, C gets charged through D to plus 10 volts, all right?
[09:06.040 --> 09:11.080]  Sorry, this is supposed to be plus 5, minus 5, okay?
[09:11.840 --> 09:12.720]  All right?
[09:13.080 --> 09:16.080]  So, it'll get charged to that, all right?
[09:17.260 --> 09:26.300]  So, we get that much voltage, all right, onto our capacitor.
[09:26.300 --> 09:29.680]  Vc will equal 10 volts, okay?
[09:30.120 --> 09:34.280]  With that polarity shown, okay?
[09:34.520 --> 09:35.740]  With that polarity shown.
[09:37.400 --> 09:37.680]  Okay.
[09:38.160 --> 09:44.780]  Now, what happens next, all right?
[09:45.140 --> 09:51.680]  What happens next is that we go down towards the negative cycle, okay?
[09:51.680 --> 10:03.880]  And in the negative cycle, and even, in fact, before the negative cycle, as we're coming downwards here, all right, remember that our capacitor is already charged, okay?
[10:03.880 --> 10:11.100]  So, given that Vc is already charged, it's 10 volts, all right?
[10:11.140 --> 10:12.260]  It's become 10 volts.
[10:12.780 --> 10:15.800]  As the voltage here drops, okay?
[10:15.820 --> 10:21.700]  As the voltage here drops, we get an equation out of this, all right?
[10:22.100 --> 10:23.320]  We can now substitute.
[10:23.320 --> 10:27.220]  Pumabot ito kanina ng maximum of 5 volts.
[10:27.380 --> 10:28.820]  Meron tayong 5 volts dito.
[10:28.980 --> 10:34.340]  This forces the capacitor to become 10 volts to equalize the equation.
[10:34.640 --> 10:37.900]  It is 10 is equal to 5 plus 5.
[10:38.340 --> 10:40.660]  That's where we pick, okay?
[10:40.660 --> 10:54.660]  Now, as this V in voltage starts going down, it becomes 4 volts, it becomes 3 volts, 4 volts, 3 volts, 2 volts, 1 volt, 0, okay?
[10:54.980 --> 10:55.920]  Going downwards.
[10:56.900 --> 11:01.320]  You'll notice that, of course, we now have an imbalance in the equation.
[11:01.540 --> 11:04.220]  This becomes impossible again, all right?
[11:04.660 --> 11:08.740]  Now, imagine that the capacitor is charged to 10.
[11:08.740 --> 11:10.840]  What will happen, all right?
[11:10.940 --> 11:13.620]  What is going to happen as this voltage goes downward?
[11:14.260 --> 11:18.500]  Is the capacitor going to get instantaneously discharged?
[11:19.120 --> 11:22.400]  The answer is no, because remember, we have a diode there.
[11:23.100 --> 11:31.240]  And as the voltage begins to go down, our current actually will begin to try to go in the reverse direction.
[11:31.440 --> 11:33.920]  Remember, if the capacitor is discharging,
[11:33.920 --> 11:38.800]  the current implication is that it's trying to go in the opposite direction.
[11:39.360 --> 11:41.640]  That's the only way the capacitor will discharge.
[11:42.500 --> 11:45.680]  But as we try to go in the opposite direction,
[11:46.160 --> 11:51.360]  you'll notice that this is now going in the reverse direction
[11:51.360 --> 11:56.460]  against what the diode is allowed to conduct.
[11:56.460 --> 12:02.080]  And so our diode now becomes an open circuit, all right?
[12:02.520 --> 12:06.800]  It now absorbs that voltage difference, all right?
[12:06.880 --> 12:12.420]  It now absorbs that voltage difference, allowing the capacitor to theoretically,
[12:12.820 --> 12:19.080]  or at least, you know, for now, remain at 10 volts, all right?
[12:19.080 --> 12:25.620]  And the diode opens up so that the diode voltage across it becomes reverse bias,
[12:25.880 --> 12:32.980]  and the voltage across it starts to build up to equalize this equation, all right?
[12:33.720 --> 12:41.500]  So now that you can see that, all right, now that you can see that,
[12:41.660 --> 12:44.700]  you look at the polarity of this guy.
[12:45.120 --> 12:47.160]  Remember that it is positive here.
[12:47.160 --> 12:49.540]  It's negative here, all right?
[12:49.620 --> 12:54.880]  And as this voltage goes downward and actually towards the negative,
[12:55.920 --> 12:59.520]  the diode will remain open, all right?
[12:59.560 --> 13:01.140]  The diode will remain open.
[13:01.140 --> 13:07.960]  And you'll notice that the polarity of V in is now negative and positive, all right?
[13:08.320 --> 13:12.120]  Which is the same polarity as the capacitor.
[13:12.520 --> 13:13.940]  It's the same direction.
[13:13.940 --> 13:21.780]  So you'll notice that the voltage across the capacitor and the voltage of V in are in the same polarity.
[13:21.920 --> 13:31.820]  It's like two series voltage sources, which produces a massively larger polarity across this whole structure.
[13:33.400 --> 13:33.660]  Okay?
[13:34.220 --> 13:38.200]  So much, much larger polarity across this whole structure.
[13:38.540 --> 13:39.220]  How large?
[13:39.220 --> 13:48.260]  Well, you can see that this is 10 and this is 5 so that the total voltage is negative 15.
[13:49.680 --> 13:50.280]  Okay?
[13:50.280 --> 13:58.420]  So makikita natin na nag-charge yung capacitor and because the capacitor charged up, it charged up to 10 volts,
[13:59.040 --> 14:02.240]  this is the voltage of the capacitor itself.
[14:03.240 --> 14:03.860]  All right?
[14:03.860 --> 14:08.100]  And as the supply goes negative, all right?
[14:08.100 --> 14:16.000]  It will add up to that capacitor voltage its own extra 5 volts.
[14:17.000 --> 14:17.180]  Okay?
[14:17.320 --> 14:18.700]  Yan yung 5 volts niya.
[14:19.740 --> 14:20.080]  All right?
[14:20.420 --> 14:28.700]  So that it now will force the waveform across the resistor to actually go downward by this much.
[14:29.000 --> 14:29.320]  All right?
[14:29.320 --> 14:37.780]  And you can continue this analysis and what you're going to see is that this output waveform is going to look like this.
[14:37.780 --> 14:47.780]  If the capacitor remains charged to 10 volts, you're going to get an output waveform that is sinusoidal.
[14:47.780 --> 14:48.820]  All right?
[14:48.820 --> 14:59.800]  With an offset now of minus 10 and a peak-to-peak voltage equal to our original input voltage.
[15:00.040 --> 15:00.440]  All right?
[15:00.440 --> 15:06.360]  So that's how the clamper basically works.
[15:07.080 --> 15:07.380]  All right?
[15:08.900 --> 15:13.140]  So the output can reach a maximum of negative 15.
[15:13.600 --> 15:14.000]  All right?
[15:15.660 --> 15:20.800]  And this essentially is what a clamper does.
[15:21.160 --> 15:25.420]  Now, admittedly, it might be a little bit hard to visualize this.
[15:25.920 --> 15:28.060]  That's why we took it step by step.
[15:28.060 --> 15:28.100]  All right?
[15:28.740 --> 15:45.300]  So the capacitor action, by having charged up to a particular voltage, now sustains and produces a different continuous DC output.
[15:45.780 --> 15:46.180]  All right?
[15:47.020 --> 15:48.840]  Or place where the waveform is.
[15:48.840 --> 15:55.660]  Now, of course, you should have the question of doesn't the capacitor discharge?
[15:55.660 --> 15:57.200]  The answer is yes.
[15:57.340 --> 15:58.860]  Where is that discharge path?
[15:59.320 --> 16:02.360]  Well, look at it with the way the current is flowing.
[16:02.620 --> 16:05.600]  The current is actually, because the diode's open, all right?
[16:05.680 --> 16:06.780]  The diode is open circuit.
[16:07.340 --> 16:12.860]  Your path for the current flowing is actually through the resistive load here.
[16:12.860 --> 16:27.700]  So the capacitor does discharge because of the fact that it is supplying its current through the power source over into our load where there is a current that is flowing.
[16:27.700 --> 16:50.360]  So the capacitor, assuming, or at least supposed to be, if you choose your capacitor to be fairly large so that it has a large reservoir of energy, all right, and your resistance does not drain that energy a very, very large amount,
[16:50.360 --> 17:00.840]  So you can imagine that you can't drop, you can imagine that the capacitor voltage will drop a little or slowly, right, as we go through this negative cycle.
[17:01.180 --> 17:06.400]  So it will drop, which means that you're not really going to reach negative 15.
[17:06.520 --> 17:10.240]  It will be a little bit less than that because of the capacitor discharging.
[17:10.240 --> 17:31.020]  But as it goes through the zero and begins to go back to the positive portion, it will turn on the diode again, all right, at the appropriate voltage if there is a voltage difference established between this guy and this guy just like before.
[17:31.020 --> 17:40.340]  And so this will instantaneously recharge that capacitor back to the original 10 volts, okay?
[17:40.780 --> 17:51.560]  So every cycle, every time we go towards our peak positive, the capacitor has a chance to recharge.
[17:51.560 --> 18:09.280]  And then through this portion after the peak, as it goes down and goes here, and as it goes back towards the next part, it will be discharging up to the point that we reach wherever it is discharged, and then it will recharge again.
[18:10.060 --> 18:20.260]  And then back down, discharge, discharge, discharge, discharge, discharge, back up, recharge for that brief moment back to 10 volts, okay?
[18:20.260 --> 18:32.960]  So we get the cycle such that each and every time we go, there is a charging cycle that reestablishes that voltage.
[18:32.960 --> 18:49.180]  That's why there is this equation here, all right, which says that the RC type constant, all right, is much, much greater than the frequency, all right, period.
[18:50.260 --> 18:54.460]  And that's an important statement, all right?
[18:54.680 --> 19:07.800]  Hopefully, if you understand its significance now, we must ensure that we recharge the capacitor in time before it discharges a lot, okay?
[19:07.800 --> 19:25.700]  That discharge cycle is established by this value, which is C times R, which basically says how fast it will discharge, all right?
[19:25.700 --> 19:41.780]  And you'll see that the discharge time is assumed to be much, much bigger than the period of V in, all right?
[19:41.880 --> 19:47.980]  This is the period of V in, if you didn't recognize it, 2 pi over omega, all right?
[19:47.980 --> 19:54.100]  This is the period of V in, all right?
[19:54.100 --> 19:55.100]  So that's the assumption.
[19:55.760 --> 20:08.960]  It's discharging slowly enough such that the cycle by cycle time is enough to recharge it without the voltage of the capacitor dropping off too significantly, okay?
[20:09.800 --> 20:10.200]  All right?
[20:11.140 --> 20:11.940]  Are there questions?
[20:11.940 --> 20:17.360]  Of course, you probably had some difficulty kind of understanding that, all right?
[20:18.000 --> 20:28.600]  So a single diode plus capacitor, all right, is a voltage shifter, all right?
[20:28.680 --> 20:30.680]  It's a voltage shifter.
[20:31.020 --> 20:34.180]  A clamp is a voltage shifter.
[20:34.180 --> 20:42.920]  In this case, we got it to go down to negative 10 through this particular arrangement, okay?
[20:43.560 --> 20:43.960]  All right?
[20:45.300 --> 20:53.680]  Now, so your question might be, what is the use of being able to shift it down?
[20:53.680 --> 21:05.360]  Well, there might be, all right, an application where you need a voltage, all right?
[21:05.740 --> 21:12.920]  If you look at it, originally we had this voltage here which was riding up and below zero, all right?
[21:13.160 --> 21:16.720]  And maybe the application requires that the waveform goes downward.
[21:17.140 --> 21:22.800]  Now, admittedly, at this point, you probably don't really see where that possibility is, all right?
[21:22.800 --> 21:27.720]  But, okay, but look at this.
[21:28.560 --> 21:36.480]  We can take advantage of the fact that we have a circuit that can shift it down like so, all right?
[21:37.740 --> 21:48.380]  And if we can shift it, all right, we can add a rectifier after the shifting, okay?
[21:48.380 --> 22:06.140]  And the voltage that you get out of the rectifier is a DC voltage that is not normally possible to get without that shifting, all right?
[22:06.600 --> 22:12.920]  So here is an example of that particular circuit, a more practical one.
[22:13.100 --> 22:16.360]  You'll notice that there is no battery or voltage extra here.
[22:16.360 --> 22:22.040]  So this is an application of a clamp circuit.
[22:23.160 --> 22:32.040]  So if we can shift the waveform, all right, and then rectify it,
[22:32.040 --> 22:41.840]  we can get a rectified DC voltage that is very different, all right?
[22:42.220 --> 22:48.480]  That is greater than the peak voltage of the voltage source.
[22:48.480 --> 22:57.320]  And in theory, for example, in this case, the voltage that you can extract here is twice as high, all right?
[22:57.320 --> 23:06.780]  It's higher by a factor of two over the DC voltage, all right?
[23:06.780 --> 23:14.840]  Again, of course, you're riding on the assumption that the amount of time that it takes to discharge the capacitors, all right,
[23:14.980 --> 23:22.800]  is much, much greater than the period of the input source waveform, okay?
[23:22.800 --> 23:40.640]  So again, if it is, you know, a significant part of it, you will know the end result is that the output voltage will be much lower than the expected times two, all right?
[23:40.640 --> 23:50.160]  But the closer we are, or the bigger the time constant we have versus how fast or how short the period is,
[23:50.440 --> 23:55.060]  the closer we are to the theoretical doubling of the voltage.
[23:55.060 --> 24:01.700]  Now, just keep in mind, this is, maybe it might be good if you put this in quotation marks, okay?
[24:01.820 --> 24:09.640]  Because it does not really reach double from the fact that no matter how you look at it, in the real world,
