[00:00.000 --> 00:29.980]  Thank you.
[00:30.000 --> 00:37.520]  I'll put the screen up and let's get back to where we left off last time.
[00:38.760 --> 00:46.360]  Okay, start from the current slide and let me just share it.
[00:48.260 --> 00:49.860]  Here's the slideshow.
[00:53.720 --> 00:55.000]  Okay, here we go.
[00:55.820 --> 00:58.000]  Hang on, let me just pull something.
[00:58.000 --> 01:01.020]  I just want to be checking the, yikes.
[01:02.220 --> 01:04.020]  Quite a bit of CPU load there.
[01:07.240 --> 01:07.760]  Okay.
[01:08.400 --> 01:09.080]  All right.
[01:09.180 --> 01:11.600]  Well, it's within bounds, so not a big deal.
[01:12.580 --> 01:14.220]  30, 40%.
[01:14.220 --> 01:14.640]  Okay.
[01:17.640 --> 01:18.760]  Peaking at 60.
[01:19.240 --> 01:19.680]  Gosh.
[01:20.940 --> 01:21.980]  Zoom is heavy.
[01:21.980 --> 01:22.780]  Okay.
[01:23.200 --> 01:23.540]  All right.
[01:23.660 --> 01:25.560]  So let's go with this.
[01:25.900 --> 01:32.540]  We actually stopped a couple of slides downstream from here, but let me just back this up a little
[01:32.540 --> 01:36.300]  bit and remind some people about something.
[01:37.000 --> 01:37.200]  Okay.
[01:37.200 --> 01:38.200]  Okay.
[01:38.200 --> 01:46.880]  So if we've been talking about light emitting diodes and there are various colors, as well
[01:46.880 --> 01:57.140]  as wavelengths or emissions that are actually outside of the human perception range.
[01:57.140 --> 02:06.420]  So the thing that I wanted to point out again here is that the forward voltage of these different
[02:06.420 --> 02:13.220]  colored diodes, if you like, are quite different from each other.
[02:13.220 --> 02:18.980]  If you look very carefully, the range here does overlap.
[02:21.280 --> 02:28.400]  And that's simply reflective of the fact that, you know, the way that the manufacturer actually
[02:28.400 --> 02:31.220]  produces these colors might vary.
[02:31.560 --> 02:36.980]  The technology underneath the hood, if you like, does vary a little bit.
[02:36.980 --> 02:46.120]  So for example, the blue colored LED has a very, very big range of possibilities in terms of forward bias.
[02:46.540 --> 02:56.080]  You'll also notice that we, you know, the actual color or wavelength that's produced varies quite a bit.
[02:56.080 --> 03:07.760]  And really that's the reason why a particular LED might have a, you know, larger or smaller forward voltage than expected.
[03:08.580 --> 03:08.740]  Okay.
[03:08.980 --> 03:22.820]  So having mentioned this, the thing that I want to point out really is that if you want to light up several LEDs at the same time, right?
[03:22.820 --> 03:38.440]  Unlike incandescent bulbs where it is perfectly possible to use an incandescent bulb like so, right?
[03:38.980 --> 03:47.920]  And you've had this from CETRON1, you can put these things basically in parallel, all right?
[03:47.920 --> 03:55.220]  It is perfectly acceptable to operate these bulbs essentially in parallel.
[03:56.120 --> 03:59.920]  And they'll just light up if they are incandescent.
[04:01.080 --> 04:06.540]  You'll also notice that our electrical appliances in the house are basically all connected.
